	en	fr	es	el
keyframes_tip	With the contextual menu (right click) you can query multiple reverse image search engines or use the magnifier and forensic tools on each keyframe.	Avec le menu contextuel (clic droit) vous pouvez utiliser plusieurs moteurs de recherches d'images ou utiliser la loupe ou l'outil forensic sur chaque image clé.	Con el menú contextual (clic derecho), puede Ud. utilizar varios motores de busqueda inversa de imagen o utilizar la lupa o la herramienta de forensic sobre cada imagen clave	Με το αναδυόμενο μενού (δεξί κλικ), μπορείτε να υποβάλετε ερώτημα πολλαπλές αντίστροφες αναζητήσεις εικόνων ή να χρησιμοποιήσετε το μεγεθυντικό φακό και τo εργαλείo ανάλυσης αυθεντικότητας για κάθε χαρακτηριστικό καρέ.
magnifier_tip	If you click on the button below the image url will be automatically copied to your clipboard. Then you will be redirected to Google Reverse Search website. You just have to paste and click on search by image url to find out more information about your image.	Si vous cliquez sur le bouton ci-dessous, l’URL de l’image sera automatiquement copiée dans votre presse-papiers. Ensuite, vous serez redirigé vers le site de recherche d'images inversées Google. Vous avez juste à coller et cliquez sur ''recherche par image'' pour en savoir plus sur votre image.	Si hace clic en el botón debajo de la url de la imagen se copiará automáticamente a su portapapeles. A continuación, será redirigido a Google Reverse Search sitio web. Sólo tienes que pegar y hacer clic en la búsqueda la imagen para obtener más información sobre su imagen.	Εάν επιλέξετε το πλήκτρο από κάτω, το url της εικόνας θα αντιγραφεί αυτόματα στο πρόχειρο σας. Στη συνέχεια θα μεταφερθείτε στην ιστοσελίδα της αντίστροφης οπτικής αναζήτησης Google. Απλά πρέπει να επικολλήσετε και να επιλέξετε την αναζήτηση με url εικόνας για να βρείτε περισσότερες πληροφορίες σχετικά με την εικόνα σας.
thumbnails_tip	If you click on the images below they will be used by the reverse search engine(s) you selected.	Si vous cliquez sur les images ci-dessous, elles seront utilisées par le(s) moteur(s) de recherche inversé(s) que vous avez sélectionné.	Si hace clic en las imágenes de abajo, serán utilizadas por el motor de búsqueda inversa seleccionado.	Αν επιλέξετε τις παρακάτω εικόνες θα χρησιμοποιηθούν από την μηχανή(ες)  αντίστροφης οπτικής αναζήτησης που έχετε επιλέξει.
twittersna_timeline_tip	Timeline of the posts and shares retrieved from your query. You can zoom into the timeline with the slider below. You can check the peaks of propagation (calculated as a sum of all shares per day).	Chronologie des posts extraits de votre requête. Vous pouvez zoomer dans la frise chronologique avec le curseur en dessous. Vous pouvez vérifier les pics de propagation (calculés comme une somme de tous les shares par jour).	Línea de tiempo de los posts recuperados con su consulta. Puede hacer un zoom en la línea de tiempo con el deslizador de la parte inferior. Puede comprobar los picos de propagación (calculados como la suma de todos los shares por día).	Χρονοδιάγραμμα των posts που ανακτήθηκαν από το ερώτημά σας. Μπορείτε να κάνετε ζουμ στο χρονοδιάγραμμα με το ρυθμιστικό παρακάτω. Μπορείτε να ελέγξετε τις κορυφές διάδοσης (υπολογίζονται ως άθροισμα όλων των shares ανά ημέρα).
twittersna_tweetnb_tip	Metrics retrieved for your query. If you want to assess the newsworthiness of your query, you can compare with Twitter trends : https://twitter.com/i/trends	Mesures correspondants à votre requête. Si vous voulez vérifier l'intérêt journalistique et la viralité de votre requête, vous pouvez comparer avec les tendances Twitter : https://twitter.com/i/trends	Medidas correspondiente a su búsqueda. Si quiere evaluar el interés periodístico o la viralidad de su búsqueda, puede comparar con las tendencias Twitter : https://twitter.com/i/trends	Mετρήσεις που ανακτήθηκαν για το ερώτημά σας. Αν θέλετε να αξιολογήσετε την αξιοπιστία του ερωτήματός σας, μπορείτε να συγκρίνετε με τις τάσεις του Twitter: https://twitter.com/i/trends
twittersna_most_retweet_tip	This Doughnut-chart shows the top 20 shared users with their number of shares. Click on a doughnut segment to see the corresponding posts.	Ce graphique montre les 20 utilisateurs les plus retweetés avec leur nombre de shares. Cliquez sur un segment pour voir les posts correspondants.	Este gráfico muestra los 20 usuarios más activos con su número de shares. Haz clic en un segmento para ver los posts correspondientes.	Αυτό το γράφημα πίτας δείχνει τους 20 κορυφαίους χρήστες που έχουν πραγματοποιήσει retweet με τον αριθμό των shares. Κάντε κλικ σε ένα τμήμα πίτας για να δείτε τα αντίστοιχα posts.
twittersna_most_likes_tip	This Doughnut-chart shows the top 20 users with most liked posts and their number of likes. Click on a doughnut segment to see the corresponding posts.	.Ce graphique montre les 20 meilleurs utilisateurs dont les messages ont été les plus appréciés ainsi que leur nombre de `` j'aime ''. Cliquez sur un segment pour voir les posts correspondants.	Este gráfico muestra los 20 usuarios principales cuyas publicaciones han sido más apreciadas por su número de ''me gusta''. Haz clic en un segmento para ver los posts correspondientes.	Αυτό το γράφημα πίτας δείχνει τους 20 πρώτους χρήστες με τις πιο δημοφιλείς αναρτήσεις και τον αριθμό των ετικετών "like". Κάντε κλικ σε ένα τμήμα πίτας για να δείτε τα αντίστοιχα posts.
twittersna_most_active_tip	This Doughnut-chart shows the top 20 most active users with their number of posts. Click on a doughnut segment to see the corresponding posts.	Ce graphique montre les 20 premiers utilisateurs les plus actifs avec leur nombre de posts. Cliquez sur un segment pour voir les posts correspondants.	Este gráfico muestra los 20 primeros usuarios más activos con su número de posts. Haz clic en un segmento para ver los posts correspondientes.	Αυτό το γράφημα πίτας δείχνει τους 20 πιο ενεργούς χρήστες με τον αριθμό των posts τους. Κάντε κλικ σε ένα τμήμα πίτας για να δείτε τα αντίστοιχα posts.
twittersna_most_mentions_tip	This Doughnut-chart shows the 20 top most mentioned users with their number of mentions. Click on a doughnut segment to see the corresponding posts.	Ce graphique montre les 20 utilisateurs les plus cités avec leur nombre de mentions. Cliquez sur un segment pour voir les posts correspondants.	Este gráfico muestra los 20 usuarios más mencionados con su número de menciones. Haga clic en un segmento para ver los posts correspondientes.	Αυτό το γράφημα πίτας δείχνει τους 20 κορυφαίους χρήστες που έχουν γίνει αναφορά με τον αριθμό των αναφορών τους. Κάντε κλικ σε ένα τμήμα πίτας για να δείτε τα αντίστοιχα posts.
twittersna_heatmap_tip	The heatmap shows activity per hour. Darker squares show more activity. It may help you to detect bots or coordinated behaviour. Click on a square to see the corresponding posts.	Le graphique indique l'activité par heure. Les carrés plus foncés indiquent une activité plus importante. Cela peut vous aider à détecter les bots ou les comportements coordonnés. Cliquez sur une case pour voir les posts correspondants.	El mapa de calor muestra la actividad por hora. Los cuadros más oscuros muestran más actividad. Puede ayudarte a detectar bots o el comportamiento Haz clic en un cuadrado para ver los posts correspondientes.	Ο χάρτης θερμότητας δείχνει τη δραστηριότητα ανά ώρα. Τα πιο σκοτεινά τετράγωνα δείχνουν περισσότερη δραστηριότητα. Μπορεί να σας βοηθήσει να εντοπίσετε ρομπότ ή συντονισμένη συμπεριφορά. Κάντε κλικ σε ένα τετράγωνο για να δείτε τα αντίστοιχα posts.
